03/04/2026 17:43:15 ; [60, 10, 60, 11, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 34, 44, 9, 174, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
03/04/2026 17:43:23 ; [62, 10, 62, 10, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 35, 44, 9, 164, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
03/04/2026 17:43:31 ; [60, 9, 62, 9, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 36, 44, 9, 164, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
03/04/2026 17:43:39 ; [62, 10, 64, 8, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 37, 44, 9, 160, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
03/04/2026 17:43:47 ; [62, 10, 64, 10, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 38, 44, 9, 166, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
03/04/2026 17:43:55 ; [64, 9, 62, 9, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 39, 44, 9, 152, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
03/04/2026 17:44:03 ; [62, 9, 64, 10, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 40, 44, 9, 152, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
03/04/2026 17:44:11 ; [62, 9, 62, 9, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 41, 44, 9, 160, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
03/04/2026 17:44:19 ; [62, 9, 62, 11, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 42, 44, 9, 151, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
03/04/2026 17:44:27 ; [62, 10, 64, 9, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 43, 44, 9, 166, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
