Time stamp;Contador;RSSI_DL;RSSI_UL;Perdas;PSR;Max_DL;Min_DL;Max_UL;Min_UL;valor_atual_spreadingfactor;valor_atual_bandwidth;valor_atual_codingrate;valor_atual_potencia_radio
03/04/2026 17:43:15;1;-44.0;-44.0;0;100.0;-44.0;-44.0;-44.0;-44.0;12;125;8;20
03/04/2026 17:43:23;2;-43.0;-43.0;0;100.0;-43.0;-44.0;-43.0;-44.0;12;125;8;20
03/04/2026 17:43:31;3;-44.0;-43.0;0;100.0;-43.0;-44.0;-43.0;-44.0;12;125;8;20
03/04/2026 17:43:39;4;-43.0;-42.0;0;100.0;-43.0;-44.0;-42.0;-44.0;12;125;8;20
03/04/2026 17:43:47;5;-43.0;-42.0;0;100.0;-43.0;-44.0;-42.0;-44.0;12;125;8;20
03/04/2026 17:43:55;6;-42.0;-43.0;0;100.0;-42.0;-44.0;-42.0;-44.0;12;125;8;20
03/04/2026 17:44:03;7;-43.0;-42.0;0;100.0;-42.0;-44.0;-42.0;-44.0;12;125;8;20
03/04/2026 17:44:11;8;-43.0;-43.0;0;100.0;-42.0;-44.0;-42.0;-44.0;12;125;8;20
03/04/2026 17:44:19;9;-43.0;-43.0;0;100.0;-42.0;-44.0;-42.0;-44.0;12;125;8;20
03/04/2026 17:44:27;10;-43.0;-42.0;0;100.0;-42.0;-44.0;-42.0;-44.0;12;125;8;20
