Time stamp;Contador;RSSI_DL;RSSI_UL;Perdas;PSR;Max_DL;Min_DL;Max_UL;Min_UL;valor_atual_spreadingfactor;valor_atual_bandwidth;valor_atual_codingrate;valor_atual_potencia_radio
03/04/2026 17:42:23;1;-42.0;-42.0;1;0.0;-42.0;-42.0;-42.0;-42.0;9;125;8;20
03/04/2026 17:42:24;2;-43.0;-42.0;1;50.0;-42.0;-43.0;-42.0;-42.0;9;125;8;20
03/04/2026 17:42:25;3;-42.0;-43.0;1;66.67;-42.0;-43.0;-42.0;-43.0;9;125;8;20
03/04/2026 17:42:26;4;-43.0;-43.0;1;75.0;-42.0;-43.0;-42.0;-43.0;9;125;8;20
03/04/2026 17:42:27;5;-44.0;-44.0;1;80.0;-42.0;-44.0;-42.0;-44.0;9;125;8;20
03/04/2026 17:42:28;6;-45.0;-44.0;1;83.33;-42.0;-45.0;-42.0;-44.0;9;125;8;20
03/04/2026 17:42:29;7;-44.0;-44.0;1;85.71;-42.0;-45.0;-42.0;-44.0;9;125;8;20
03/04/2026 17:42:30;8;-44.0;-43.0;1;87.5;-42.0;-45.0;-42.0;-44.0;9;125;8;20
03/04/2026 17:42:31;9;-44.0;-43.0;1;88.89;-42.0;-45.0;-42.0;-44.0;9;125;8;20
03/04/2026 17:42:32;10;-44.0;-43.0;1;90.0;-42.0;-45.0;-42.0;-44.0;9;125;8;20
