Time stamp;Contador;RSSI_DL;RSSI_UL;Perdas;PSR;Max_DL;Min_DL;Max_UL;Min_UL;valor_atual_spreadingfactor;valor_atual_bandwidth;valor_atual_codingrate;valor_atual_potencia_radio
03/04/2026 16:51:57;1;-53.0;-50.0;0;100.0;-53.0;-53.0;-50.0;-50.0;12;250;8;20
03/04/2026 16:52:01;2;-50.0;-49.0;0;100.0;-50.0;-53.0;-49.0;-50.0;12;250;8;20
03/04/2026 16:52:05;3;-49.0;-49.0;0;100.0;-49.0;-53.0;-49.0;-50.0;12;250;8;20
03/04/2026 16:52:09;4;-48.0;-49.0;0;100.0;-48.0;-53.0;-49.0;-50.0;12;250;8;20
03/04/2026 16:52:13;5;-49.0;-49.0;0;100.0;-48.0;-53.0;-49.0;-50.0;12;250;8;20
03/04/2026 16:52:17;6;-49.0;-48.0;0;100.0;-48.0;-53.0;-48.0;-50.0;12;250;8;20
03/04/2026 16:52:21;7;-49.0;-48.0;0;100.0;-48.0;-53.0;-48.0;-50.0;12;250;8;20
03/04/2026 16:52:25;8;-48.0;-46.0;0;100.0;-48.0;-53.0;-46.0;-50.0;12;250;8;20
03/04/2026 16:52:29;9;-52.0;-49.0;0;100.0;-48.0;-53.0;-46.0;-50.0;12;250;8;20
03/04/2026 16:52:33;10;-47.0;-46.0;0;100.0;-47.0;-53.0;-46.0;-50.0;12;250;8;20
