Time stamp;Contador;RSSI_DL;RSSI_UL;Perdas;PSR;Max_DL;Min_DL;Max_UL;Min_UL;valor_atual_spreadingfactor;valor_atual_bandwidth;valor_atual_codingrate;valor_atual_potencia_radio
03/04/2026 16:53:31;1;-48.0;-49.0;0;100.0;-48.0;-48.0;-49.0;-49.0;12;250;8;20
03/04/2026 16:53:35;2;-49.0;-49.0;0;100.0;-48.0;-49.0;-49.0;-49.0;12;250;8;20
03/04/2026 16:53:39;3;-48.0;-48.0;0;100.0;-48.0;-49.0;-48.0;-49.0;12;250;8;20
03/04/2026 16:53:43;4;-48.0;-48.0;0;100.0;-48.0;-49.0;-48.0;-49.0;12;250;8;20
03/04/2026 16:53:47;5;-50.0;-50.0;0;100.0;-48.0;-50.0;-48.0;-50.0;12;250;8;20
03/04/2026 16:53:51;6;-50.0;-49.0;0;100.0;-48.0;-50.0;-48.0;-50.0;12;250;8;20
03/04/2026 16:53:56;7;-50.0;-49.0;0;100.0;-48.0;-50.0;-48.0;-50.0;12;250;8;20
03/04/2026 16:54:00;8;-51.0;-49.0;0;100.0;-48.0;-51.0;-48.0;-50.0;12;250;8;20
03/04/2026 16:54:04;9;-49.0;-48.0;0;100.0;-48.0;-51.0;-48.0;-50.0;12;250;8;20
03/04/2026 16:54:08;10;-47.0;-46.0;0;100.0;-47.0;-51.0;-46.0;-50.0;12;250;8;20
03/04/2026 16:54:12;11;-46.0;-46.0;0;100.0;-46.0;-51.0;-46.0;-50.0;12;250;8;20
03/04/2026 16:54:16;12;-46.0;-46.0;0;100.0;-46.0;-51.0;-46.0;-50.0;12;250;8;20
03/04/2026 16:54:20;13;-46.0;-45.0;0;100.0;-46.0;-51.0;-45.0;-50.0;12;250;8;20
03/04/2026 16:54:24;14;-46.0;-45.0;0;100.0;-46.0;-51.0;-45.0;-50.0;12;250;8;20
03/04/2026 16:54:28;15;-46.0;-44.0;0;100.0;-46.0;-51.0;-44.0;-50.0;12;250;8;20
03/04/2026 16:54:32;16;-46.0;-45.0;0;100.0;-46.0;-51.0;-44.0;-50.0;12;250;8;20
03/04/2026 16:54:36;17;-46.0;-45.0;0;100.0;-46.0;-51.0;-44.0;-50.0;12;250;8;20
03/04/2026 16:54:40;18;-46.0;-44.0;0;100.0;-46.0;-51.0;-44.0;-50.0;12;250;8;20
03/04/2026 16:54:44;19;-46.0;-44.0;0;100.0;-46.0;-51.0;-44.0;-50.0;12;250;8;20
03/04/2026 16:54:48;20;-46.0;-45.0;0;100.0;-46.0;-51.0;-44.0;-50.0;12;250;8;20
