Time stamp;Contador;RSSI_DL;RSSI_UL;Perdas;PSR;Max_DL;Min_DL;Max_UL;Min_UL;valor_atual_spreadingfactor;valor_atual_bandwidth;valor_atual_codingrate;valor_atual_potencia_radio
03/04/2026 17:41:10;1;-45.0;-45.0;0;100.0;-45.0;-45.0;-45.0;-45.0;12;250;8;20
03/04/2026 17:41:14;2;-45.0;-45.0;0;100.0;-45.0;-45.0;-45.0;-45.0;12;250;8;20
03/04/2026 17:41:18;3;-45.0;-44.0;0;100.0;-45.0;-45.0;-44.0;-45.0;12;250;8;20
03/04/2026 17:41:22;4;-44.0;-43.0;0;100.0;-44.0;-45.0;-43.0;-45.0;12;250;8;20
03/04/2026 17:41:26;5;-44.0;-44.0;0;100.0;-44.0;-45.0;-43.0;-45.0;12;250;8;20
03/04/2026 17:41:30;6;-45.0;-44.0;0;100.0;-44.0;-45.0;-43.0;-45.0;12;250;8;20
03/04/2026 17:41:34;7;-45.0;-44.0;0;100.0;-44.0;-45.0;-43.0;-45.0;12;250;8;20
03/04/2026 17:41:39;8;-43.0;-43.0;0;100.0;-43.0;-45.0;-43.0;-45.0;12;250;8;20
03/04/2026 17:41:43;9;-44.0;-43.0;0;100.0;-43.0;-45.0;-43.0;-45.0;12;250;8;20
03/04/2026 17:41:47;10;-44.0;-43.0;0;100.0;-43.0;-45.0;-43.0;-45.0;12;250;8;20
